Name,RA,DEC,Vmag,Sp.Type,dist (pc),ObsDate
"HIP18975","4 3 56.7 ","8 11 50 ","5.45","F2V","35.9","02/10/2016"
"HIP19076","4 5 20.4 ","22 0 29 ","5.90","G5V","16.7","02/26/2016"
"HIP19205","4 7 0.34 ","29 0 4 ","5.21","F1V","27.5","02/27/2016"
"HIP19255","4 7 34.5 ","38 4 24 ","7.13","G5","20.5",""
"HIP19302","4 8 15.2 ","37 43 35 ","6.07","K1III","44.1",""
"HIP19335","4 8 36.8 ","38 2 19 ","5.52","F7V","21.3",""
"HIP19337","4 8 38.0 ","33 38 15 ","10.1","M1","13.6",""
"HIP19422","4 9 35.2 ","69 32 24 ","7.70","G5","18.4","02/03/2016"
"HIP19454","4 10 4.24 ","86 37 32 ","5.84","F5IV","40.9",""
"HIP19472","4 10 14.5 ","17 22 3 ","9.07","K5","33.4",""
"HIP19554","4 11 20.4 ","5 31 23 ","5.71","F4V","38.6","04/16/2016"
"HIP19655","4 12 41.8 ","70 12 6 ","9.73","M0V:","25.8","02/03/2016"
"HIP19719","4 13 33.1 ","7 42 57 ","5.29","F3V...","36.9","03/07/2016"
"HIP19832","4 15 9.63 ","-4 25 7 ","9.38","K5V","20.4","03/07/2016"
"GJ166","4 15 13.8 ","-7 40 5 ","4.43","K0.5V","4.98","03/07/2016"
"HIP19849","4 15 13.8 ","-7 40 5 ","4.43","K1V","5.04","04/16/2016"
"HIP19841","4 15 13.9 ","76 17 12 ","8.19","G5","26.4",""
"GJ166BC","4 15 19.3 ","-7 40 12 ","9.52","M5V","4.98","04/15/2016"
"HIP19855","4 15 25.6 ","6 11 56 ","6.94","G5IV","20.8","03/08/2016"
"HIP19859","4 15 28.6 ","6 11 10 ","6.32","G0IV...","21.1","04/15/2016"
"HIP19861","4 15 32.7 ","58 31 16 ","8.71","K0","27.9",""
"HIP19930","4 16 32.6 ","36 30 2 ","8.25","K2","25.5",""
"HIP19981","4 17 7.01 ","22 40 23 ","9.77","K5","32.7",""
"HIP19990","4 17 15.6 ","20 34 41 ","4.93","A3m","28.6","02/27/2016"
"HIP20219","4 19 57.8 ","14 2 6 ","5.58","F3V...","44.8","03/27/2016"
"HIP20232","4 20 10.7 ","-14 45 37 ","9.78","K5V","30.5",""
"HIP20240","4 20 14.1 ","-9 2 13 ","9.81","K5V","31.0",""
"HIP20261","4 20 36.4 ","15 5 43 ","5.26","F0V","47.1","03/27/2016"
"HIP20359","4 21 35.8 ","48 20 13 ","9.63","K8","30.6",""
"HIP20542","4 24 5.88 ","17 26 38 ","4.80","A7V","44.7","03/27/2016"
"HIP20635","4 25 22.2 ","22 17 37 ","4.21","A7IV-V","47.0","03/27/2016"
"HIP20641","4 25 25.1 ","22 11 59 ","5.27","A7V","44.1","04/16/2016"
"HIP20648","4 25 29.5 ","17 55 39 ","4.30","A2IV","45.3","04/16/2016"
"HIP20713","4 26 20.8 ","15 37 5 ","4.48","F0V...","47.9",""
"HIP20842","4 28 0.89 ","21 37 10 ","5.72","Am","47.9",""
"HIP20901","4 28 50.2 ","13 2 51 ","5.02","A7V","49.1",""
"HIP20917","4 29 0.05 ","21 55 24 ","8.30","K7V","11.4",""
"HIP20995","4 30 8.71 ","15 38 15 ","5.58","F0V...","43.6",""
"HIP21029","4 30 33.7 ","16 11 38 ","4.78","A6IV","44.3",""
"HIP21036","4 30 37.4 ","13 43 27 ","5.40","F0V","45.7",""
"HIP21039","4 30 39.0 ","15 41 30 ","5.47","Am","44.3",""
"HIP21137","4 31 51.8 ","15 51 5 ","6.01","F4V...","44.9",""
"HIP21272","4 33 50.2 ","5 23 1 ","7.92","K0","26.7","03/01/2016"
"HIP21273","4 33 51.0 ","14 50 39 ","4.65","A8V","46.7","03/01/2016"
"HIP21276","4 33 54.0 ","64 38 0 ","7.75","G0","27.5",""
"HIP21402","4 35 39.3 ","10 9 37 ","4.25","A5m","46.1","03/01/2016"
